Tv's,Preços
"Samsung Smart TV 50"" Crystal UHD 4K 50DU8000 - Painel Dynamic Crystal Color, Gaming Hub","R$ 2463,57"
"Smart TV 43"" LG Full HD 43LR6700 Processador α5 Ger6 AI Alexa integrado LG Channels webOS 23 compatível com Controle Smart Magic","R$ 2109,00"
"Smart TV Philips 50"" 4K HDR 50PUG7019/78, Google TV, Comando de Voz","R$ 2052,09"
Smart TV 32” Philco PTV32K34RKGB Roku TV Led Dolby Audio,"R$ 939,90"
"Samsung Smart TV 43"" UHD 4K 43DU7700 - Processador Crystal 4K, Gaming Hub","R$ 2139,17"
"Samsung Smart TV 70"" Crystal UHD 4K 70DU8000 - Painel Dynamic Crystal Color, Gaming Hub","R$ 5199,00"
"Samsung Smart TV 55"" Crystal UHD 4K 55DU8000 - Painel Dynamic Crystal Color, Gaming Hub","R$ 2799,00"
"Samsung UN32T4300AGXZD - Smart TV LED 32"" HD, Wifi, HDMI, USB","R$ 1072,71"
"Smart TV 4K 50"" LG UHD 50UT8050 Processador α5 Ger7 AI Alexa/Chromecast integrado Otimizador de Jogos webOS 24 Controle Smart Magic","R$ 2295,22"
"TCL LED SMART TV 32” S5400AF FHD ANDROID TV, PRETO","R$ 1044,05"
"Smart TV 32"" LG HD 32LR600B Processador α5 Ger6 AI Alexa integrado LG Channels webOS 23 compatível com Controle Smart Magic","R$ 1179,00"
"Samsung Smart TV 65"" Crystal UHD 4K 65DU8000 - Painel Dynamic Crystal Color, Gaming Hub","R$ 3504,55"
"Smart TV 43"" HD AOC Roku 43S5045/78G TV HDMI 1 USB Wifi Conversor Digital","R$ 1519,04"
"Smart TV 32"" HD AOC Roku 32S5045/78G TV HDMI 1 USB Wifi Conversor Digital","R$ 993,19"
"Smart TV 4K 55"" LG OLED evo OLED55C4 Processador α9 Ger7 AI Painel 144Hz Intensificador de Brilho Design Ultra Slim Dolby Vision Dolby Atmos","R$ 5595,00"
"Smart TV 4K 43"" LG UHD 43UT8000 Processador α5 Ger7 AI Alexa/Chromecast integrado Otimizador de Jogos webOS 24 compatível com Controle Smart Magic","R$ 2249,00"
"Smart TV 4K 55"" LG NanoCell 55NANO80T Processador α5 Ger7 AI Hub de Esportes Alexa/Chromecast integrado webOS 24 Controle Smart Magic","R$ 2814,00"
Britânia Smart TV 32” BTV32G7PR2CSGBLH LED Dolby Áudio,"R$ 898,00"
TCL QLED TV 55” C655 4K UHD GOOGLE TV DOLBY VISION ATMOS,"R$ 2799,00"
"Samsung Smart TV 65"" QLED 4K 65Q60D - Tecnologia de Pontos Quânticos, Design AirSlim, Gaming Hub","R$ 4829,00"
"Samsung Smart Big TV 75"" Crystal UHD 4K 75DU8000 - Painel Dynamic Crystal Color, Gaming Hub","R$ 5487,51"
Smart TV 32” Philco LED Roku TV PTV32G7PR2CGB,"R$ 999,00"
"Smart TV 4K 65"" LG UHD 65UT8050 Processador α5 Ger7 AI Alexa/Chromecast integrado Otimizador de Jogos webOS 24 Controle Smart Magic","R$ 3469,98"
"Smart TV 55"" 4K 120 Hz Philips THE ONE 55PUG8808/78, Google TV, Ambilight, P5, DTS Play-Fi, Freesync, Dolby Vision Atmos, 40 WRMS","R$ 3199,00"
"Patrocinado
Suporte Articulado de Parede para TVs de 14"" a 55"" – Ajuste Livre, Suporta até 30kg – Compatível com LED, LCD, Smart TV e Plasma","R$ 104,70"
"Patrocinado
Suporte Móvel Ajustável com Rodinhas Ideal para Geladeiras, Máquinas de Lavar e Móveis, Resistente, Reforçado, Até 200 Kg- Linha Premium","R$ 61,90"
"Patrocinado
Controle Remoto Smart TV LED Compatível Com Samsung UN55RU7100GXZD OMAIC Com Netflix Prime Vídeo Internet","R$ 37,90"
"Samsung Smart TV QLED 32"" Full HD QN32LS03C - Gaming Hub, Tela Matte, Modo Arte, Suporte de parede incluso","R$ 1849,00"
"Samsung Smart Gaming TV 50"" Neo QLED 4K 50QN90D - Processador com AI, Upscaling 4K, Mini LED, Painel até 144hz","R$ 4846,99"
"Smart TV 4K 65"" LG NanoCell 65NANO80T Processador α5 Ger7 AI Hub de Esportes Alexa/Chromecast integrado webOS 24 Controle Smart Magic","R$ 3654,00"
Smart TV 40” PTV40E3ERSGB Roku TV Led Dolby Audio,"R$ 1349,00"
"Smart TV Philips 43"" Full HD 43PFG6909/78, Google TV, Comando de Voz, HDR","R$ 1649,00"
"Samsung Smart TV 55"" QLED 4K 55Q60D - Tecnologia de Pontos Quânticos, Design AirSlim","R$ 3735,99"
"Smart TV 4K 50"" LG NanoCell 50NANO80T Processador α5 Ger7 AI Hub de Esportes Alexa/Chromecast integrado webOS 24 Controle Smart Magic","R$ 2430,00"
"Smart TV LG 43"" 4K 43UR781C webOS 23, Wi-Fi, Inteligência Artificial ThinQ, built-in, Google Assistente, Alexa AppleAirplay & HomeKit Design Ultrafino","R$ 1858,92"
Smart TV Philco PTV58G7UR2CSBL 58” 4K Led Dolby Audio,"R$ 2297,07"
"Smart TV Philips Ambilight 50"" 4K 50PUG7908/78, Google TV, Comando de Voz, Dolby Vision/Atmos, VRR/ALLM, Bluetooth","R$ 2399,00"
"Smart TV 4K 55"" LG QNED 55QNED85T Processador α8 AI Painel 120Hz Quantum Dot Nanocell Local Dimming Design Super Slim FreeSync webOS 24","R$ 3799,05"
2022 Smart TV LG 60' 4K UHD 60UQ8050 WiFi Bluetooth HDR Nvidia GEFORCE NOW ThinQAI Smart Magic Google Alexa,"R$ 3181,55"
TCL LED SMART TV 55” P755 4K UHD GOOGLE TV,"R$ 2279,00"
"Samsung Smart Gaming TV 43"" Neo QLED 4K 43QN90D - Processador com AI, Upscaling 4K, Mini LED, Painel até 144hz","R$ 3963,21"
"TCL LED TV 40"" S5400A FHD Android TV","R$ 1519,05"
"Smart TV 4K 55"" LG UHD 55UT8050 Processador α5 Ger7 AI Alexa/Chromecast integrado Otimizador de Jogos webOS 24 Controle Smart Magic","R$ 2649,55"
"Smart TV Aiwa 43”, Android, Full HD, Borda Ultrafina, HDR10, Dolby Áudio - AWS-TV-43-BL-02-A","R$ 1590,88"
"Samsung Smart TV 55"" QLED 4K 55Q70D - Tecnologia de Pontos Quânticos, Upscaling 4K AI, Painel até 120Hz","R$ 3599,00"
SMART TV SAMSUNG SMART TV UHD CRYSTAL 4K 55,N/A
"Smart TV LED 32"" HQ HD 3 HDMI 2 USB WI-FI Android 11 Design Slim","R$ 929,00"
TCL QLED TV 65” C655 4K UHD GOOGLE TV DOLBY VISION ATMOS,"R$ 3419,04"
SMART TV SAMSUNG BE50D-H UHD 4K 3HDMI 1USB TIZEN,"R$ 2148,07"
"Samsung Smart TV LED 43"" FULL HD UN43T5300 - Wifi, HDMI","R$ 1891,18"
